epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5194,2.19776,3.27283,1.99558,0.00394,0.56522,0.05049,0.02066,2.28037,3.72691,2.29659,4e-05,4e-05,4e-05
2,28.5526,2.19782,3.29714,1.9376,0.00485,0.69565,0.12539,0.07071,2.04722,3.4439,2.0865,9.802e-05,9.802e-05,9.802e-05
3,41.7524,1.90406,3.15365,1.84796,0.00485,0.69565,0.18942,0.08706,1.99596,3.45289,1.98715,0.000153664,0.000153664,0.000153664
4,54.94,2.46945,3.31547,2.38494,0.00485,0.69565,0.19848,0.0877,1.82971,3.50121,1.93014,0.000206932,0.000206932,0.000206932
5,69.4863,1.933,2.86398,1.83705,0.00515,0.73913,0.256,0.11095,1.88558,3.37146,1.95999,0.000257824,0.000257824,0.000257824
6,79.3483,1.74126,2.61633,1.77385,0.00515,0.73913,0.21754,0.08108,1.84688,3.38267,1.88168,0.00030634,0.00030634,0.00030634
7,90.3626,1.76229,3.29819,1.96639,0.00515,0.73913,0.28967,0.11834,1.8635,3.33349,1.90778,0.00035248,0.00035248,0.00035248
8,99.7351,2.0359,3.05651,1.98849,0.00515,0.73913,0.31779,0.1258,1.87415,3.31953,1.95766,0.000396244,0.000396244,0.000396244
9,109.65,1.70555,2.76427,1.86126,0.00515,0.73913,0.26274,0.09557,1.87792,3.45025,1.94731,0.000437632,0.000437632,0.000437632
10,118.94,1.65569,2.32164,1.70185,0.00545,0.78261,0.21446,0.08119,1.99881,3.4318,2.02024,0.000476644,0.000476644,0.000476644
11,127.778,1.88402,2.71485,1.92539,0.00485,0.69565,0.13933,0.04696,2.1468,3.57414,2.1684,0.00051328,0.00051328,0.00051328
12,136.583,1.89457,2.58267,1.8943,0.00485,0.69565,0.18017,0.05966,2.23059,3.59417,2.30836,0.00054754,0.00054754,0.00054754
13,145.529,1.6854,2.3946,1.72675,0.00566,0.50034,0.10144,0.04712,2.55633,3.63169,2.6181,0.000579424,0.000579424,0.000579424
14,154.187,1.63375,2.40386,1.77368,0.00424,0.6087,0.11453,0.05051,2.69978,3.74579,2.81505,0.000608932,0.000608932,0.000608932
15,163.274,1.66269,2.27178,1.75477,0.00424,0.6087,0.09059,0.02789,2.77592,3.65856,2.70529,0.000636064,0.000636064,0.000636064
16,172.198,1.6229,2.63244,1.70477,0.00424,0.6087,0.067,0.02301,2.87535,3.62324,2.76241,0.00066082,0.00066082,0.00066082
17,181.827,2.75334,4.13099,2.34309,0.00424,0.6087,0.13345,0.05327,2.68612,3.60474,2.61636,0.0006832,0.0006832,0.0006832
18,191.185,1.63675,2.38669,1.7842,0.00485,0.69565,0.16603,0.04601,2.77567,3.65588,2.76259,0.000703204,0.000703204,0.000703204
19,200.506,1.63169,2.90272,1.71484,0.00424,0.6087,0.09194,0.0248,2.87741,3.57753,2.94902,0.000720832,0.000720832,0.000720832
20,209.383,1.53313,2.12224,1.69842,0.10816,0.04348,0.08653,0.0279,3.03986,3.56015,3.05083,0.000736084,0.000736084,0.000736084
21,217.975,1.73886,2.22698,1.83004,0.0791,0.04348,0.0418,0.01046,2.96117,3.64312,3.06243,0.00074896,0.00074896,0.00074896
22,226.858,0.95178,4.71499,1.04818,0.03092,0.04348,0.02432,0.00705,2.79509,3.68509,2.93183,0.00075946,0.00075946,0.00075946
23,235.396,1.50073,1.77773,1.57418,0.27461,0.08696,0.05911,0.02118,2.78056,3.38842,2.77154,0.000767584,0.000767584,0.000767584
24,244.339,1.49816,2.31604,1.69409,0.27844,0.13043,0.16758,0.09145,2.52011,3.21024,2.57872,0.000773332,0.000773332,0.000773332
25,253.813,1.89771,2.51272,1.96671,0.78724,0.16282,0.23921,0.10355,2.3987,3.15693,2.49465,0.000776704,0.000776704,0.000776704
26,263.854,1.83057,2.25683,1.95884,0.78776,0.17391,0.32133,0.13554,2.37122,3.0914,2.4061,0.0007777,0.0007777,0.0007777
27,273.019,1.2622,2.5147,1.46248,0.63784,0.21739,0.28448,0.13756,2.30885,3.02592,2.37326,0.00077632,0.00077632,0.00077632
28,282.758,1.46389,1.84306,1.5479,0.93838,0.21739,0.31263,0.14085,2.26053,2.95734,2.34068,0.000772564,0.000772564,0.000772564
29,291.434,1.26662,2.0219,1.55139,0.93838,0.21739,0.31263,0.14085,2.26053,2.95734,2.34068,0.000766432,0.000766432,0.000766432
30,300.039,1.26569,1.8779,1.43038,0.64915,0.26087,0.31006,0.10657,2.37182,3.0499,2.38168,0.000757924,0.000757924,0.000757924
31,309.061,1.4714,1.86097,1.58755,0.37809,0.18576,0.2003,0.0566,2.39934,3.17274,2.45204,0.00074704,0.00074704,0.00074704
32,317.802,1.52505,1.843,1.55519,0.24779,0.21739,0.13081,0.0538,2.28141,3.14828,2.35437,0.00073378,0.00073378,0.00073378
33,326.59,1.52245,1.83084,1.4584,0.24779,0.21739,0.13081,0.0538,2.28141,3.14828,2.35437,0.000718144,0.000718144,0.000718144
34,335.287,1.19843,1.64974,1.3621,0.31998,0.26619,0.20548,0.08561,2.25998,2.97291,2.25142,0.0006932,0.0006932,0.0006932
35,343.983,1.5596,1.76213,1.70008,0.55578,0.34783,0.27591,0.10491,2.26368,2.8388,2.1657,0.0006536,0.0006536,0.0006536
36,352.728,1.90566,2.56092,2.03778,0.69346,0.29582,0.34755,0.1408,2.30489,2.70363,2.21102,0.000614,0.000614,0.000614
37,361.387,1.28815,1.71045,1.47103,0.69346,0.29582,0.34755,0.1408,2.30489,2.70363,2.21102,0.0005744,0.0005744,0.0005744
38,370.37,1.6619,2.37142,1.792,0.71659,0.43478,0.47461,0.17111,2.25102,2.5816,2.18455,0.0005348,0.0005348,0.0005348
39,378.855,1.67954,3.31145,1.65836,0.54699,0.42054,0.42064,0.17216,2.22308,2.44402,2.18836,0.0004952,0.0004952,0.0004952
40,387.345,1.22734,1.7338,1.44526,0.55391,0.43478,0.44806,0.17426,2.26249,2.51683,2.12587,0.0004556,0.0004556,0.0004556
41,395.911,1.12662,1.51284,1.31188,0.55391,0.43478,0.44806,0.17426,2.26249,2.51683,2.12587,0.000416,0.000416,0.000416
42,404.231,1.41691,1.59293,1.46655,0.50321,0.3913,0.42444,0.16767,2.28501,2.5738,2.19966,0.0003764,0.0003764,0.0003764
43,412.524,0.96053,1.4835,1.09907,0.57232,0.3913,0.44837,0.1891,2.28542,2.51614,2.21835,0.0003368,0.0003368,0.0003368
44,420.749,1.2886,1.52486,1.37395,0.50568,0.44515,0.46074,0.17301,2.35397,2.55322,2.26558,0.0002972,0.0002972,0.0002972
45,428.99,1.43596,1.78511,1.49151,0.50568,0.44515,0.46074,0.17301,2.35397,2.55322,2.26558,0.0002576,0.0002576,0.0002576
46,437.369,1.1139,1.39028,1.27658,0.55172,0.47826,0.48091,0.17698,2.42013,2.48217,2.30567,0.000218,0.000218,0.000218
47,445.619,1.02862,1.43639,1.24346,0.61818,0.56324,0.52633,0.20301,2.39295,2.38956,2.30767,0.0001784,0.0001784,0.0001784
48,453.874,1.36642,1.98655,1.59498,0.6215,0.65217,0.56187,0.2073,2.37726,2.29388,2.33036,0.0001388,0.0001388,0.0001388
49,462.126,0.94363,1.37033,1.14757,0.6215,0.65217,0.56187,0.2073,2.37726,2.29388,2.33036,9.92e-05,9.92e-05,9.92e-05
50,470.406,1.27863,1.91089,1.27267,0.63872,0.6087,0.60923,0.2162,2.36546,2.25874,2.31324,5.96e-05,5.96e-05,5.96e-05
